# Flights
set FLIGHTS := 1165 1432 1698 1843 1987 2135 2421 2600 2828 2972 3072 3250 3386 3571 3708 3984 4217 4461 4699 4858 5059 5172 5307 5531 5715 6005 6289 6522 6759 6942 7023 7398 7509 7961 8324 8456 8838 9122 9456 9785;

# Airports
set AIRPORTS := BER UCL SCR SDG DAV;

# Airplanes
set AIRPLANES := Airplane9 Airplane11;

# Captains
set CAPTAINS := C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16;

# First Officers
set FIRST_OFFICERS := FO1 FO2 FO3 FO4 FO5 FO6 FO7 FO8 FO9 FO10 FO11 FO12 FO13 FO14 FO15 FO16;

# Parameters for crew scheduling
param max_duty_time := 8;
param min_rest_time := 0.04166667; # 1 hour in fractional days

# Departure and arrival airports, times (from flight_schedules.xlsx)
param: dep_airport arr_airport dep_time arr_time :=
1165 SCR SDG 0.2979 0.3604
1432 BER UCL 0.3000 0.3417
1698 DAV BER 0.3083 0.3292
1843 SDG BER 0.3146 0.3771
1987 UCL SDG 0.3271 0.3479
2135 BER UCL 0.3368 0.3785
2421 UCL SDG 0.3465 0.3674
2600 BER DAV 0.3750 0.3958
2828 SCR DAV 0.3833 0.4042
2972 UCL SDG 0.4049 0.4257
3072 SDG SCR 0.4146 0.4771
3250 SDG UCL 0.4188 0.4396
3386 SDG SCR 0.4375 0.5000
3571 BER DAV 0.4493 0.4701
3708 DAV BER 0.4583 0.4792
3984 UCL BER 0.4653 0.5069
4217 UCL BER 0.5160 0.5576
4461 SDG UCL 0.5194 0.5403
4699 SCR BER 0.5208 0.5417
4858 DAV SCR 0.5417 0.5625
5059 BER SCR 0.5417 0.5625
5172 DAV SDG 0.5486 0.6319
5307 BER DAV 0.5563 0.5771
5531 UCL BER 0.5882 0.6299
5715 SCR BER 0.5979 0.6188
6005 BER UCL 0.6042 0.6458
6289 BER DAV 0.6236 0.6444
6522 SCR BER 0.6250 0.6458
6759 DAV UCL 0.6389 0.7014
6942 SCR UCL 0.6646 0.7063
7023 SDG SCR 0.6785 0.7410
7398 BER SCR 0.6799 0.7007
7509 UCL SDG 0.6896 0.7104
7961 BER UCL 0.6938 0.7354
8324 BER DAV 0.7104 0.7313
8456 DAV UCL 0.7243 0.7868
8838 UCL BER 0.7500 0.7917
9122 UCL SDG 0.7535 0.7708
9456 SDG SCR 0.7563 0.8188
9785 SCR BER 0.7646 0.7854;

# Captain costs for all captains and flights
param captain_cost :=
C1 1165 1000 C1 1432 1000 C1 1698 1000 C1 1843 1000 C1 1987 1000 C1 2135 1000 C1 2421 1000 C1 2600 1000 C1 2828 1000 C1 2972 1000
C1 3072 1000 C1 3250 1000 C1 3386 1000 C1 3571 1000 C1 3708 1000 C1 3984 1000 C1 4217 1000 C1 4461 1000 C1 4699 1000 C1 4858 1000
C1 5059 1000 C1 5172 1000 C1 5307 1000 C1 5531 1000 C1 5715 1000 C1 6005 1000 C1 6289 1000 C1 6522 1000 C1 6759 1000 C1 6942 1000
C1 7023 1000 C1 7398 1000 C1 7509 1000 C1 7961 1000 C1 8324 1000 C1 8456 1000 C1 8838 1000 C1 9122 1000 C1 9456 1000 C1 9785 1000

C2 1165 1000 C2 1432 1000 C2 1698 1000 C2 1843 1000 C2 1987 1000 C2 2135 1000 C2 2421 1000 C2 2600 1000 C2 2828 1000 C2 2972 1000
C2 3072 1000 C2 3250 1000 C2 3386 1000 C2 3571 1000 C2 3708 1000 C2 3984 1000 C2 4217 1000 C2 4461 1000 C2 4699 1000 C2 4858 1000
C2 5059 1000 C2 5172 1000 C2 5307 1000 C2 5531 1000 C2 5715 1000 C2 6005 1000 C2 6289 1000 C2 6522 1000 C2 6759 1000 C2 6942 1000
C2 7023 1000 C2 7398 1000 C2 7509 1000 C2 7961 1000 C2 8324 1000 C2 8456 1000 C2 8838 1000 C2 9122 1000 C2 9456 1000 C2 9785 1000

C3 1165 1000 C3 1432 1000 C3 1698 1000 C3 1843 1000 C3 1987 1000 C3 2135 1000 C3 2421 1000 C3 2600 1000 C3 2828 1000 C3 2972 1000
C3 3072 1000 C3 3250 1000 C3 3386 1000 C3 3571 1000 C3 3708 1000 C3 3984 1000 C3 4217 1000 C3 4461 1000 C3 4699 1000 C3 4858 1000
C3 5059 1000 C3 5172 1000 C3 5307 1000 C3 5531 1000 C3 5715 1000 C3 6005 1000 C3 6289 1000 C3 6522 1000 C3 6759 1000 C3 6942 1000
C3 7023 1000 C3 7398 1000 C3 7509 1000 C3 7961 1000 C3 8324 1000 C3 8456 1000 C3 8838 1000 C3 9122 1000 C3 9456 1000 C3 9785 1000

C4 1165 1000 C4 1432 1000 C4 1698 1000 C4 1843 1000 C4 1987 1000 C4 2135 1000 C4 2421 1000 C4 2600 1000 C4 2828 1000 C4 2972 1000
